,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 141,,,,,,COTD 142,,,,,,COTD 143,,,,,,COTD 144,,,,,,COTD 145,,,
Map: COTD - Farewell by PlusMicron,,,,,,Map: COTD - Slowtown by [CSC] Shadynook,,,,,,Map: safe travels v4 by crips.fourie,,,,,,Map: COTD 144 - Chartreuse Valley by [CSC]Tommygaming,,,,,,Map: COTD - Resonance Ridge by Richhyyyy,,,
,,Fastest Time: 44.849 by RoundNzt in Round 4,,,,,,Fastest Time: 41.585 by [KURK] Quickracer10 in Round 7,,,,,,Fastest Time: 41.988 by Kernkob in Round 13,,,,,,Fastest Time: 43.318 by Kernkob in Round 3,,,,,,Fastest Time: 42.901 by Hydro in Round 9,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
33,[FPV]PandaMane,DNF,5,,,33,FINSTER83,45.593,2,,,33,[TOG]Lazy_Echidna,DNF,4,,,33,[CSC]IronDragon111000,46.563,3,,,33,[ZET] Wheelie,45.011,5
,Sterben,DNF,5,,,34,[SLOW]Zeus,45.719,2,,,34,timesprout,59.384,3,,,34,aizpun,46.676,3,,,34,Matic_D,45.075,5
35,Hi Im Yolo,47.966,4,,,35,wokonbike,46.103,2,,,35,[MMM]LKat,DNF,3,,,35,MackCheesy,DNF,3,,,35,[TOG]Lazy_Echidna,44.914,4
36,alpa,48.255,4,,,36,BrickEdwards,46.009,1,,,,Dartho Mas,DNF,3,,,,rtube,DNF,3,,,36,Tudge Boat,44.949,4
37,[ZET] Wheelie,48.955,4,,,37,Savage Package,46.206,1,,,,aizpun,DNF,3,,,,[TOG]Lazy_Echidna,DNF,3,,,37,BrickEdwards,45.244,4
38,Void,DNF,4,,,38,[Err] Veneficus,46.408,1,,,,[SLOW]Zeus,DNF,3,,,38,[SLOW]Zeus,46.923,2,,,38,pannekoekbijter,45.611,4
,Kiprosa,DNF,4,,,39,Noot Noot 42.0,46.418,1,,,,BrickEdwards,DNF,3,,,39,timesprout,47.088,2,,,39,Nails,DNF,4
,[ERR]ferinine,DNF,4,,,40,Elaric,49.418,1,,,40,𝒱V𝑜o𝒾i𝒹d𝒱,43.433,2,,,40,[RB]Chinpokomon,47.320,2,,,,graysonvitek88,DNF,4
41,[CTR]agix,47.955,3,,,,,,,,,41,[ZET] Wheelie,47.436,2,,,41,[FOOL] Ruckooe,47.482,2,,,41,[fn]Form,45.254,3
42,[ZET]Sword125,48.186,3,,,,,,,,,42,[Burp]Weak_Knees,DNF,2,,,42,Fly8oy,48.253,2,,,42,wokonbike,45.447,3
