,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 146,,,,,,COTD 147,,,,,,COTD 148,,,,,,COTD 149,,,,,,COTD 150,,,
Map: Shambly COTD by [CRT]Codewalt,,,,,,Map: COTD - Ashlands Descent by [CSC]Mokster,,,,,,Map: Eleven Gallium by agix,,,,,,Map: -COTD- The Spice Rack by [CSC] OccasionallyAmazingGamer,,,,,,Map: COTD #150 - Sink into Madness by Form,,,
,,Fastest Time: 45.625 by justMaki in Round 13,,,,,,Fastest Time: 47.498 by Sterben in Round 10,,,,,,Fastest Time: 40.672 by justMaki in Round 12,,,,,,Fastest Time: 47.837 by Kernkob in Round 2,,,,,,Fastest Time: 40.402 by Kernkob in Final,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
33,timesprout,49.883,3,,,33,[SLOW]Zeus,51.366,4,,,33,[CSC]Tommygaming,DNF,5,,,,[CSC] Shadynook,DNF,4,,,33,Gimpel,45.259,4
34,Fly8oy,50.188,3,,,34,[fn]Form,51.386,4,,,,[SLOW]Zeus,DNF,5,,,,Six,DNF,4,,,34,[oiia]K410K3N,45.590,4
35,JakeAdjacent,DNF,3,,,35,alpa,DNF,4,,,35,elekvault,43.369,4,,,,wokonbike,DNF,4,,,35,aizpun,45.885,4
,Waaksaam,DNF,3,,,36,[ZET]Sword125,51.525,3,,,36,wokonbike,43.474,4,,,36,Noxitu,DNF,3,,,36,Kiprosa,46.645,4
,BrickEdwards,DNF,3,,,37,MALIYO,52.524,3,,,37,Jungle_Fury,44.077,4,,,,Matic_D,DNF,3,,,37,[RB]Chinpokomon,48.951,4
,[ZET]Sword125,DNF,3,,,38,[CTR]agix,DNF,3,,,38,timesprout,44.217,4,,,,Savage Package,DNF,3,,,38,SjorsTea,49.026,4
39,[SLOW]Zeus,50.530,2,,,,St Nicholas,DNF,3,,,39,Dartho Mas,44.267,4,,,,Victor,DNF,3,,,39,M4DSCOTSM4N,47.966,3
40,FINSTER83,50.554,2,,,,[ZET] Wheelie,DNF,3,,,40,Matic_D,DNF,4,,,,SuperHeavy,DNF,3,,,40,timesprout,51.331,3
41,Orb Bee Bob,51.210,2,,,,BrickEdwards,DNF,3,,,41,[NEB] Breazy,44.376,3,,,,FINSTER83,DNF,3,,,41,BrickEdwards,DNF,3
42,SuperHeavy,51.228,2,,,42,Azrael,51.658,2,,,42,Valco,44.801,3,,,,[TOG]Lazy_Echidna,DNF,3,,,,wokonbike,DNF,3
43,[EEN] Hang Chang-Pang,DNF,2,,,43,timesprout,52.133,2,,,43,Romans138,44.808,3,,,43,[SLOW]Zeus,51.950,2,,,,SuperHeavy,DNF,3
,[CTR]GuAlexItar,DNF,2,,,44,Fly8oy,52.718,2,,,44,SuperHeavy,44.863,3,,,44,BrickEdwards,52.174,2,,,,Orb Bee Bob,DNF,3
