,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 131,,,,,,COTD 132,,,,,,COTD 133,,,,,,COTD 134,,,,,,COTD 135,,,
Map: COTD - Vielstilstrecke by [TILT]Redstony,,,,,,Map: COTD - Aether by Wotterbytes (Tiago),,,,,,Map: COTD 133 - Serpent's Lair by [CTR]Rourie13,,,,,,Map: COTD - Urbs Noctu by [20x]K410K3N,,,,,,Map: COTD - Hypnerotomachia by [CSC] Sahne mit Bohnen,,,
,,Fastest Time: 45.823 by justMaki in Round 12,,,,,,Fastest Time: 43.996 by Kernkob in Round 8,,,,,,Fastest Time: 45.298 by justMaki in Round 13,,,,,,Fastest Time: 42.509 by ZOMAN in Final,,,,,,Fastest Time: 42.405 by justMaki in Round 14,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,Kernkob,46.012,,,,1,ZOMAN,44.190,,,,1,justMaki,45.367,,,,1,ZOMAN,42.509,,,,1,justMaki,42.613,
2,justMaki,46.029,16,,,2,[KURK] Quickracer10,DNF,17,,,2,[FPV]PandaMane,45.769,17,,,2,Lexer,42.778,15,,,2,Kernkob,42.824,15
3,ZOMAN,47.013,15,,,3,Sterben,44.242,16,,,3,[SWMG]JakeAdjacent,DNF,16,,,3,[KURK] Quickracer10,43.541,14,,,3,del gaming (Sterben),42.778,14
4,[KURK] Quickracer10,46.457,14,,,4,Lexer,44.665,15,,,4,rtm_lover2007 (Kernkob),46.585,15,,,4,[CTR] Sandals,43.089,13,,,4,Lexer,43.068,13
5,Sterben,47.324,13,,,5,[CTR] Sandals,DNF,14,,,5,Hydro,DNF,14,,,5,[CTR]Beans,DNF,12,,,5,RoundNzt,43.135,12
6,Pants,47.005,12,,,6,Kernkob,44.227,13,,,6,[KURK] Quickracer10,45.701,13,,,6,RoundNzt,43.207,11,,,6,[SWMG]JakeAdjacent,43.243,11
7,MackCheesy,46.956,11,,,7,MackCheesy,44.328,13,,,7,ZOMAN,45.720,12,,,7,[FPV]PandaMane,43.778,10,,,7,clycl,DNF,11
8,[CSC] An Actual g00se,DNF,11,,,8,[FPV]PandaMane,44.245,12,,,8,Lexer,45.919,12,,,8,[ping] ping,43.788,10,,,8,Hydro,43.149,10
9,RoundNzt,47.568,10,,,9,JobW,44.334,12,,,9,[CTR] Sandals,45.821,11,,,9,[1618] microways,43.418,9,,,9,ZOMAN,43.745,10
10,MALIYO,47.739,10,,,10,RoundNzt,44.508,11,,,10,RoundNzt,45.867,11,,,10,[CSC]Tommygaming,43.683,9,,,10,[Quac] microways,43.197,9
11,[CTR]agix,47.837,9,,,11,icRS,44.528,11,,,11,376,46.190,10,,,11,MALIYO,43.763,8,,,11,[CTR] Sandals,43.310,9
12,[CTR] Sandals,DNF,9,,,12,ping,44.641,10,,,12,JobW,47.624,10,,,12,[CTR]agix,DNF,8,,,12,JobW,43.334,8
13,Hydro,47.468,8,,,13,[CTR]GuAlexItar,44.722,10,,,13,[ZET]Stick,46.072,9,,,13,St Nicholas,44.075,7,,,13,[ping] ping,44.105,8
14,Lexer,47.560,8,,,14,[CSC] DeeDeeNaNaNa,44.513,9,,,14,MALIYO,46.507,9,,,14,icRS,DNF,7,,,14,Hi Im Yolo,43.575,7
15,[CTR]GuAlexItar,47.649,8,,,15,Butter,44.584,9,,,15,[old]Warsnac,46.335,8,,,15,[GECK]R0nanC,43.975,6,,,15,MALIYO,43.662,7
16,Hi Im Yolo,47.875,8,,,16,Orthros,44.617,9,,,16,icRS,46.352,8,,,16,[CTR]GuAlexItar,44.335,6,,,16,[CSC]Tommygaming,DNF,7
17,ping,48.110,7,,,17,[Quac] microways,44.668,9,,,17,Orthros,46.669,8,,,17,Pants,DNF,6,,,,MackCheesy,DNF,7
18,icRS,48.267,7,,,18,[SWMG]JakeAdjacent,44.888,8,,,18,[CSC]Tommygaming,46.783,8,,,,gilgool,DNF,6,,,18,[TILT]Redstony,43.847,6
19,[CSC]Tommygaming,48.438,7,,,19,Hi Im Yolo,44.902,8,,,19,MackCheesy,46.620,7,,,19,Hi Im Yolo,44.542,5,,,19,Noxitu,43.963,6
20,Savage Package,DNF,7,,,20,[CTR]agix,DNF,8,,,20,rtube,46.906,7,,,20,[CSC] DeeDeeNaNaNa,44.681,5,,,20,St Nicholas,43.993,6
21,[CSC] Shadynook,48.577,6,,,,[CTR]Mortishade,DNF,8,,,21,[CSC] redal,46.950,7,,,21,[BAP]Six,44.865,5,,,21,[CTR]GuAlexItar,DNF,6
22,DeiRex,48.622,6,,,22,Mμ,44.668,7,,,22,[CTR]agix,DNF,7,,,22,Barsik,45.137,5,,,22,[ZET]Stick,44.563,5
23,[BAP]SixSixSevenSeven,49.207,6,,,23,[CSC] redal,44.756,7,,,23,ping,46.516,6,,,23,[GFHL]loganbradley714,46.132,4,,,23,Gimpel,45.140,5
24,St Nicholas,DNF,6,,,24,[CTR]Beans,45.257,7,,,24,brrryy,46.527,6,,,24,brrryy,DNF,4,,,24,[BAP]Six,DNF,5
25,Gimpel,49.485,5,,,25,[CSC]Tommygaming,DNF,7,,,25,[20x]K410K3N,46.831,6,,,,[Tame]stindt,DNF,4,,,,[TTR]MetalCJ,DNF,5
26,[ZET] Wheelie,49.722,5,,,26,[ZET]Stick,44.939,6,,,26,[BAP]SixSixSevenSeven,48.171,6,,,,PlusMicron,DNF,4,,,26,PlustMicron,44.551,4
27,[FPV]PandaMane,DNF,5,,,27,Minkus,45.027,6,,,27,Hi Im Yolo,46.876,5,,,27,Dartho Mas,45.503,3,,,27,[CSC] redal,DNF,4
,[XTR] [VK] Ulv_Ravn,DNF,5,,,28,graysonvitek88,45.199,6,,,28,[CTR]Mortishade,47.143,5,,,28,[fn]Form,46.121,3,,,,Nails,DNF,4
29,[TOG]Lazy_Echidna,49.478,4,,,29,Gimpel,45.280,6,,,29,[CTR] PoopSheriff,47.209,5,,,29,[DNFF]lucanakin,46.195,3,,,,[20x]K410K3N,DNF,4
30,Matic_D,49.628,4,,,30,Matic_D,45.086,5,,,30,PlusMicron,47.225,5,,,30,[ZET]Sword125,46.442,3,,,30,Matic_D,45.380,3
31,Fatboy,50.006,4,,,31,brrryy,45.207,5,,,31,Gimpel,47.473,5,,,31,Icey,47.080,3,,,31,Noot Noot 42.0,45.582,3
32,Noxitu,50.053,4,,,32,Joe-bgaming,45.450,5,,,32,[fn]Form,47.487,4,,,32,F1Y1NGDUTCHM8N,47.212,3,,,32,Tudge Boat,46.435,3
